"","lamd1v"
"1",-29.8104176513645
"2",5.75544427041511
"3",-4.74347372471503
"4",-43.6112285805947
"5",-29.1660121003601
"6",8.68166965221334
"7",14.1485629691807
"8",-52.5453682758751
"9",-82.0635436903857
"10",22.460246177114
"11",61.8735575190009
"12",-14.921177688815
"13",21.3564245216353
"14",-0.478939616055165
"15",13.3723653744917
"16",-1.85624378316713
"17",-14.2768005712966
"18",4.28506421335419
"19",-7.23263447249923
"20",6.3672765562963
"21",-31.6358141880905
"22",-12.5165639189328
"23",-40.1701500388995
"24",7.74832105386011
"25",12.7938579043907
"26",26.3654998888638
"27",49.3372412275993
"28",11.5605351471309
"29",-135.956453228957
"30",126.366238042062
"31",-124.055234658289
"32",-15.1432429833148
"33",-517.040966083481
"34",280.825570268785
"35",-53.8930695618096
"36",2.67757515048694
"37",95.9684743027523
"38",-48.0076409200502
"39",29.0429216995765
"40",-2.49377919226124
"41",-24.5397434078849
"42",-4.74421065554767
"43",8.8997153549462
"44",-0.261785482794752
"45",-32.624069395806
"46",9.84242642082432
"47",-2.08855781873767
"48",42.669747240671
"49",-50.4393760421997
"50",-23.1693710095333
"51",-0.75149416516751
"52",-5.35720358847351
"53",13.1253882723237
"54",17.3693510456922
"55",-6.80743037792093
"56",6.15339476976889
"57",4.84115039036461
"58",-19.010177455219
"59",13.8229606592324
"60",14.8099447251776
"61",-34.0730989279026
"62",-28.1640214954888
"63",0.758136374586545
"64",10.5187943644552
"65",4.2750063218126
"66",-5.66844171641745
"67",23.6984384441937
"68",-1.09552934252032
"69",-10.209902467941
"70",12.8421975257551
"71",-5.40932598876353
"72",-9.67530734141626
"73",25.0778822656625
"74",-12.500177611738
"75",-7.76483526622314
"76",-5.53056490057921
"77",3.43786492753604
"78",-1.61334460851063
"79",4.29029614771153
"80",-8.84810099683186
"81",1.44324169513539
"82",-3.68740954471532
"83",9.6270034278212
"84",-8.0132148433488
"85",8.69858342409516
"86",-2.16429283627392
"87",0.471105369439101
"88",-1.67892642107423
"89",0.622906261176563
"90",3.83466407949058
"91",0.340670736462476
"92",-0.0805104461639395
"93",-0.108403492558216
"94",0.163309653589864
"95",-0.187747697749765
"96",0.259711206883
"97",0.293824533563686
"98",-0.0769653690676049
"99",-0.302834349900443
"100",-0.185906015148376
"101",0.198395088399145
"102",0.265262461311196
"103",0.156823740598997
"104",0.368069670953219
"105",0.522120389109887
"106",-0.409054804475998
"107",0.150152855584024
"108",-0.105291566263951
"109",-0.176810829666763
"110",-0.825686588996611
"111",0.0747999582628243
"112",-0.130849456397574
"113",-0.0312428652054031
"114",0.0365848040461039
"115",-0.0920063364370041
"116",0.535193362435436
"117",-0.390392615382197
"118",0.466516038895783
"119",0.943329020021083
"120",0.0179284196464584
"121",-0.554420625097001
"122",0.491290817433068
"123",0.104174943507009
"124",-0.10832278265742
"125",-0.134523608393497
"126",-0.113162059996943
"127",-0.175887819858423
"128",-0.0761011101723189
"129",-1.29165332614618
"130",-0.325913390019319
"131",-0.716615482035984
"132",-0.531644225629879
"133",-9.40449180265056
"134",-1.09824579413391
"135",0.19690736609112
"136",-0.557459736965069
"137",-0.136994251649606
"138",1.56996050065508
"139",-2.37272173968574
"140",-1.23206851285652
"141",2.12979317371635
"142",-0.706157161739353
"143",-0.790892438871229
"144",-0.748936522987051
"145",0.551788721698909
"146",0.65972769276561
"147",-0.0843488488694302
"148",-2.38558665440673
"149",-0.418066496994087
"150",3.5171024068961
"151",-4.56742711225687
"152",0.127816126468966
"153",1.59599863088376
"154",-0.943883116282926
"155",-0.779521833256807
"156",-0.250210463694314
"157",5.83216297646687
"158",-0.713203271765847
"159",-0.181553053252169
"160",1.30218145609537
"161",0.661182077632385
"162",0.562541697639831
"163",-1.71745127303163
"164",-4.14553984497398
"165",-9.5252508405706
"166",1.43040094989647
"167",-7.15152588568535
"168",-2.62821577328693
"169",-0.633135895398142
"170",0.689304347589936
"171",2.96935220069106
"172",-0.355430744475292
"173",-1.87468429126578
"174",0.652905272828304
"175",0.0150435365765027
"176",0.0913250015016526
"177",-0.0064770800196895
"178",0.0893770645964915
"179",-2.01975300019941
"180",0.164886032020385
"181",3.12681542267404
"182",-1.95478986945997
"183",0.00251402205751294
"184",0.00201612903219266
"185",0.0341381844521881
"186",0.0798925804875876
"187",-1.4722193988085
"188",-0.149552841518208
"189",2.20239235395786
"190",0.504435724016726
"191",0.421539401260872
"192",-0.385129092856617
"193",-1.44796657276392
"194",0.359522525487085
"195",5.40981945180047
"196",-0.558753219391178
"197",-0.0463200045446219
"198",-0.794929704891237
"199",-0.442673352167351
"200",0.0179885893122764
"201",-0.0109032288956658
"202",0.790296815639552
"203",0.533625835092954
"204",2.99380304087479
"205",0.656837371904162
"206",0.163773779117379
"207",-0.344015235210532
"208",-0.171593938633632
"209",0.691454567597272
"210",1.39890292507666
"211",1.79002197658268
"212",0.577802886029195
"213",1.50985913405823
"214",-3.57691923845014
"215",1.05320409814506
"216",-0.975127592026225
"217",0.796743849996513
"218",-2.01541164410167
"219",1.57495383081614
"220",-0.597975685877852
"221",0.146382868629713
"222",0.0020161290323688
"223",1.49342559509937
"224",-0.0357885670016475
"225",-0.403500887716256
"226",-1.03967624532072
"227",-1.57243010167541
"228",0.572680507455071
"229",-2.80879897044523
"230",0.0687361163845619
"231",0.245025523757247
"232",0.00201612903230255
"233",0.00201612903226817
"234",-2.71133436284539
"235",-0.554054794403799
"236",-1.59664563330274
"237",1.7599863717012
"238",23.3833088879187
"239",11.3008120995239
"240",-1.0203797435808
"241",0.211653149476271
"242",0.558057862267651
"243",0.00201612903232132
"244",0.175829817552921
"245",-2.37964015702405
"246",0.0762171322113213
"247",0.622675607596472
"248",0.131148731690351
"249",-0.420171717169601
"250",0.021267649586779
"251",-1.23812672299221
"252",0.933060305848148
"253",-0.0745200198496512
"254",-0.308216863071595
"255",-0.297510950785171
"256",-0.274442632475248
"257",0.110111458409742
"258",-0.330106611274925
"259",-0.288146612092132
"260",0.278778842553108
"261",-0.0536951410319404
"262",0.0339516226045214
"263",-0.0538967150586581
"264",0.0262910747469163
"265",0.0681181634715482
"266",-0.104641606564843
"267",-0.325556110397171
"268",0.308877913543568
"269",0.473250918899969
"270",0.187709362525368
"271",0.00201612903225185
"272",0.00201612903223133
"273",0.00201612903218396
"274",0.00201612903213055
"275",-0.482613604083427
"276",0.311024051252321
"277",-1.64364312427214
"278",-0.0081242434373257
"279",0.051263676621546
"280",0.347827838988366
"281",0.512466303032779
"282",0.274986314463403
"283",-0.496148707226559
"284",-0.280340493053664
"285",-0.219267318429604
"286",-0.0168501415376768
"287",0.00495327217562561
"288",-4.39620501305332e-05
"289",0.00204554832050124
"290",-0.299051305699285
"291",0.112835851564635
"292",-0.144383518283925
"293",-0.000211466487735179
"294",0.00201612903227579
"295",-0.139633238088138
"296",-0.519124758464546
"297",-0.246592690898627
"298",0.0319772711843992
"299",0.0186924818379591
"300",0.00368355724715855
"301",0.0243132383060839
"302",-0.00669610414298905
"303",0.00149101748942054
"304",0.39547611661368
"305",-0.207650085499907
"306",0.0211997663593779
"307",0.00201612903226183
"308",0.0690712877751182
"309",0.00455940473987881
"310",0.135172963832761
"311",-0.000423404821625596
"312",-0.435420581864726
"313",-0.126472221091704
"314",-0.0166304044264328
"315",0.365212828963511
"316",-0.00325107237739185
"317",0.361085369442585
"318",-0.12829739154185
"319",-0.0691165733002305
"320",0.00712742898079978
"321",0.0140592043444743
"322",0.0594005811426254
"323",0.00478098071640651
"324",0.00954839623276742
"325",0.0122940552035971
"326",-0.12334313758092
"327",0.0448401441553783
"328",0.00117978788376343
"329",0.0382210909776583
"330",-0.0165433785358368
"331",-0.135492310982601
"332",0.00097187762648826
"333",0.000726831699203108
"334",-0.00350984701727585
"335",-2.11584594354519
"336",-8.4366762377602
"337",25.3478081996965
"338",-22.1955096754165
"339",-8.66673412197068
"340",-14.0668330199166
"341",3.8516846765034
"342",13.9645003878879
"343",0.644835600381056
"344",1.60864529290441
"345",-12.6320581118217
"346",-5.27739070622279
"347",-6.13082848423927
"348",-6.42142816880204
"349",5.34936874319031
"350",-12.9113260179855
"351",-9.59128114073957
"352",-7.45496931361716
"353",-2.39266989909015
"354",5.62106136927088
"355",2.86631048666676
"356",-5.60175700076337
"357",-12.1473586545101
"358",-7.1626351941142
"359",13.8650003672599
"360",-5.43195528995007
"361",-10.3352990706404
"362",-0.513170220911387
"363",14.8440647695539
"364",-1.72895133175308
"365",-6.48443553026995
"366",9.19645108628945
"367",-10.6498235213742
"368",7.08306530863132
"369",6.2983120283981
"370",-8.30140969396033
"371",13.6948752639666
"372",-8.4989885738447
"373",-1.33564205364018
"374",6.98618038529535
"375",-13.3411865152561
"376",15.5866076021766
"377",-14.1742740186576
"378",7.50679894761318
"379",7.91960065727386
"380",-3.46952175136575
"381",-8.3707748255265
"382",-0.759591689808719
"383",-2.05730317596592
"384",-0.393955245817139
"385",11.4234677309874
"386",5.84056698878765
"387",-26.8872040681575
"388",3.32755691999861
"389",-3.98333315342561
"390",15.9629467687434
"391",-11.4619480335701
"392",4.16049505404875
"393",-0.0234601765294427
"394",7.15062381713663
"395",9.6094912812911
"396",1.51395673061017
"397",6.50893522690951
"398",-6.565056189433
"399",6.34779666769193
"400",-4.02997919061453
"401",-3.95676002891217
"402",-2.11699790785189
"403",9.36731502170487
"404",-3.9303326872389
"405",-1.61668561807228
"406",-8.15036303411003
"407",4.95703823220865
"408",-3.89831202812002
"409",-2.00157782677356
"410",-0.63512417105279
"411",5.16451084734781
"412",1.4109830833666
"413",-4.34368195593004
"414",0.00419350169483357
"415",-0.727707515266225
"416",-5.23383329416289
"417",-6.14710857804267
"418",0.476188112514022
"419",-3.68668320850251
"420",-2.8256829526134
"421",3.30287898088361
"422",-6.22808085142667
"423",2.37285574551814
"424",-1.45479139504266
"425",-0.420653276343804
"426",5.51445981941364
"427",-3.50553100905336
"428",-3.32137778651079
"429",2.04518413718312
"430",1.05785521333272
"431",-0.133921124362965
"432",0.231117557432047
"433",-1.21643978205453
"434",2.86287488965944
"435",-4.09865448703105
"436",-2.19980072991724
"437",6.44811455093585
"438",-2.40914081382036
"439",1.71322891789266
"440",2.17090938226537
"441",-3.05051234040314
"442",2.10262037079193
"443",0.554381807759361
"444",1.53546964699633
"445",-0.4146862629581
"446",-1.9660806850449
"447",3.84428808958976
"448",-0.255879570050371
"449",4.07554996100911
"450",-5.69893132327162
"451",3.28183769717701
"452",0.643425913328989
"453",-0.428733083253175
"454",-2.1034932426701
"455",0.792733047365557
"456",0.393538418350479
"457",-3.73358440946602
"458",0.645409404427693
"459",-0.335038188356013
"460",-1.28780604366091
"461",-0.431998032544454
"462",-3.72020336126271
"463",-3.21176528102836
"464",2.6509973825033
"465",-3.82137299558306
"466",1.09325654087964
"467",0.599384843391797
"468",0.847731211206639
"469",0.155948353529882
"470",-0.962478728467657
"471",-1.05125488989882
"472",0.693357568044742
"473",0.838565016924576
"474",2.63180607974985
"475",-0.693553176063696
"476",0.292229847683088
"477",-0.697360642185184
"478",-0.779637394474366
"479",-0.411146833787687
"480",-0.0950375458303579
"481",0.528285222387298
"482",-2.14157119191777
"483",0.524949525379669
"484",0.13493713638351
"485",0.378844507658615
"486",0.499656077238985
"487",0.583134204749237
"488",0.304727844555204
"489",0.268248151177583
"490",-0.355472486627535
"491",0.177894146715315
"492",0.0717347598301138
"493",0.763845309537146
"494",-0.0407613828037978
"495",0.0038363254720707
"496",-0.146480446591631
